organization_id,source_system,source_record_id,contact_id,company_id,first_name,last_name,job_title,email,region,lifecycle_stage,created_date,source_updated_at,ingested_at,normalized_at
org_northstar_001,hubspot,hub_contact_1,con_00001,cmp_0244,Sam,Smith,COO,sam.smith1@example.com,North America,subscriber,2025-02-27,2025-02-27T09:30:00Z,2025-02-27T09:35:00Z,2025-02-27T09:40:00Z
org_northstar_001,hubspot,hub_contact_2,con_00002,cmp_0223,Drew,Lee,Analyst,drew.lee2@example.com,North America,customer,2025-12-06,2025-12-06T09:30:00Z,2025-12-06T09:35:00Z,2025-12-06T09:40:00Z
org_northstar_001,hubspot,hub_contact_3,con_00003,cmp_0118,Robin,Kim,Sales Manager,robin.kim3@example.com,Europe,lead,2025-08-05,2025-08-05T09:30:00Z,2025-08-05T09:35:00Z,2025-08-05T09:40:00Z
org_northstar_001,hubspot,hub_contact_4,con_00004,cmp_0039,Jamie,Kim,CEO,jamie.kim4@example.com,North America,lead,2025-10-15,2025-10-15T09:30:00Z,2025-10-15T09:35:00Z,2025-10-15T09:40:00Z
org_northstar_001,hubspot,hub_contact_5,con_00005,cmp_0162,Morgan,Kim,COO,morgan.kim5@example.com,North America,SQL,2025-01-17,2025-01-17T09:30:00Z,2025-01-17T09:35:00Z,2025-01-17T09:40:00Z
org_northstar_001,hubspot,hub_contact_6,con_00006,cmp_0204,Casey,Patel,IT Manager,casey.patel6@example.com,North America,lead,2025-03-20,2025-03-20T09:30:00Z,2025-03-20T09:35:00Z,2025-03-20T09:40:00Z
org_northstar_001,hubspot,hub_contact_7,con_00007,cmp_0200,Riley,Wilson,COO,riley.wilson7@example.com,Europe,SQL,2026-07-08,2026-07-08T09:30:00Z,2026-07-08T09:35:00Z,2026-07-08T09:40:00Z
org_northstar_001,hubspot,hub_contact_8,con_00008,cmp_0041,Robin,Brown,CEO,robin.brown8@example.com,North America,subscriber,2026-05-28,2026-05-28T09:30:00Z,2026-05-28T09:35:00Z,2026-05-28T09:40:00Z
org_northstar_001,hubspot,hub_contact_9,con_00009,cmp_0119,Riley,Kim,IT Manager,riley.kim9@example.com,North America,customer,2025-03-19,2025-03-19T09:30:00Z,2025-03-19T09:35:00Z,2025-03-19T09:40:00Z
org_northstar_001,hubspot,hub_contact_10,con_00010,cmp_0204,Alex,Jones,VP Marketing,alex.jones10@example.com,North America,SQL,2025-12-01,2025-12-01T09:30:00Z,2025-12-01T09:35:00Z,2025-12-01T09:40:00Z
